City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Belyy Yar,RU,2022-03-21 08:53:06,53.6039,91.3903,39.09,39,0,11.18,clear sky,0,0
1,Port Alfred,ZA,2022-03-21 08:53:07,-33.5906,26.891,78.98,66,2,12.17,clear sky,0,0
2,Alyangula,AU,2022-03-21 08:53:07,-13.8483,136.4192,85.87,79,40,8.05,scattered clouds,0,0
3,Lebu,CL,2022-03-21 08:48:10,-37.6167,-73.65,55.44,92,45,2.75,scattered clouds,0,0
4,Vossevangen,NO,2022-03-21 08:53:08,60.623,6.4229,32.2,68,2,4.36,clear sky,0,0
5,Khatanga,RU,2022-03-21 08:53:08,71.9667,102.5,4.64,93,100,7.58,overcast clouds,0,0
6,Punta Arenas,CL,2022-03-21 08:53:09,-53.15,-70.9167,42.91,87,0,4.61,clear sky,0,0
7,San Patricio,US,2022-03-21 08:53:09,28.017,-97.5169,70.9,92,100,17.52,overcast clouds,0,0
8,Malakal,SS,2022-03-21 08:53:10,9.5334,31.6605,98.62,6,60,9.17,broken clouds,0,0
9,Klaksvik,FO,2022-03-21 08:53:10,62.2266,-6.589,45.52,90,84,18.05,broken clouds,0,0
10,Norman Wells,CA,2022-03-21 08:53:10,65.282,-126.8329,-2.16,71,100,16.11,light snow,0,0
11,Yar-Sale,RU,2022-03-21 08:53:11,66.8333,70.8333,10.62,92,68,15.86,broken clouds,0,0
12,Husavik,IS,2022-03-21 08:53:11,66.0449,-17.3389,27.37,78,100,7.87,overcast clouds,0,0
13,Rikitea,PF,2022-03-21 08:52:57,-23.1203,-134.9692,80.08,68,6,14.12,light rain,0,0
14,Mar Del Plata,AR,2022-03-21 08:48:39,-38.0023,-57.5575,63.09,78,100,28.99,light rain,0,0
15,Musoma,TZ,2022-03-21 08:53:12,-1.5,33.8,82.98,48,0,7.2,clear sky,0,0
16,Victoria,HK,2022-03-21 08:53:11,22.2855,114.1577,84.18,86,58,10.0,broken clouds,0,0
17,Cape Town,ZA,2022-03-21 08:53:13,-33.9258,18.4232,82.11,52,0,5.75,clear sky,0,0
18,Ushuaia,AR,2022-03-21 08:48:32,-54.8,-68.3,46.06,81,0,4.61,clear sky,0,0
19,Birao,CF,2022-03-21 08:53:14,10.2849,22.7882,97.59,5,90,8.93,overcast clouds,0,0
20,Arraial Do Cabo,BR,2022-03-21 08:53:14,-22.9661,-42.0278,74.93,81,99,23.98,overcast clouds,0,0
21,Haines Junction,CA,2022-03-21 08:53:14,60.7522,-137.5108,28.35,59,100,2.3,overcast clouds,0,0
22,Benjamin Aceval,PY,2022-03-21 08:53:15,-24.9667,-57.5667,71.74,63,0,5.17,clear sky,0,0
23,Morristown,US,2022-03-21 08:53:15,36.214,-83.2949,43.9,75,0,0.0,clear sky,0,0
24,Aki,JP,2022-03-21 08:53:16,33.5,133.9,55.35,73,96,2.42,overcast clouds,0,0
25,Atuona,PF,2022-03-21 08:53:16,-9.8,-139.0333,78.1,82,71,17.18,light rain,0,0
26,Batagay,RU,2022-03-21 08:53:17,67.6333,134.6333,-6.52,100,80,2.28,broken clouds,0,0
27,Marawi,PH,2022-03-21 08:53:17,7.9986,124.2928,70.74,98,100,3.58,overcast clouds,0,0
28,Cayenne,GF,2022-03-21 08:53:18,4.9333,-52.3333,79.09,1,100,6.91,overcast clouds,0,0
29,Flinders,AU,2022-03-21 08:53:19,-34.5833,150.8552,69.08,79,2,1.1,clear sky,0,0
30,Busselton,AU,2022-03-21 08:53:19,-33.65,115.3333,74.05,47,0,19.46,clear sky,0,0
31,Bathsheba,BB,2022-03-21 08:53:19,13.2167,-59.5167,75.81,73,40,14.97,scattered clouds,0,0
32,Agadez,NE,2022-03-21 08:53:20,19.75,10.25,81.66,11,75,15.37,broken clouds,0,0
33,Pingxiang,CN,2022-03-21 08:53:20,27.6167,113.85,48.33,94,100,3.67,overcast clouds,0,0
34,Homer,US,2022-03-21 08:53:21,59.6425,-151.5483,35.8,67,10,8.01,clear sky,0,0
35,Bubaque,GW,2022-03-21 08:53:21,11.2833,-15.8333,74.97,64,74,8.37,broken clouds,0,0
36,Farafangana,MG,2022-03-21 08:53:22,-22.8167,47.8333,77.94,65,86,8.39,overcast clouds,0,0
37,Mataura,NZ,2022-03-21 08:53:22,-46.1927,168.8643,57.36,87,54,6.98,broken clouds,0,0
38,Albany,US,2022-03-21 08:50:35,42.6001,-73.9662,38.68,81,21,5.99,few clouds,0,0
39,Te Anau,NZ,2022-03-21 08:53:23,-45.4167,167.7167,55.49,80,100,3.15,overcast clouds,0,0
40,Puerto Ayora,EC,2022-03-21 08:53:24,-0.7393,-90.3518,74.55,100,27,3.87,scattered clouds,0,0
41,Glens Falls,US,2022-03-21 08:53:24,43.3095,-73.644,38.52,90,38,1.01,scattered clouds,0,0
42,Itaituba,BR,2022-03-21 08:53:24,-4.2761,-55.9836,72.79,100,100,2.08,overcast clouds,0,0
43,Kantang,TH,2022-03-21 08:53:25,7.4054,99.5156,91.49,49,20,5.75,few clouds,0,0
44,Pandan,PH,2022-03-21 08:53:25,14.0453,124.1694,81.57,86,51,11.74,broken clouds,0,0
45,Kroya,ID,2022-03-21 08:53:26,-7.6331,109.2461,83.82,77,100,11.39,light rain,0,0
46,Noyabrsk,RU,2022-03-21 08:53:26,63.1994,75.4507,29.97,93,100,6.78,light snow,0,0
47,Qasigiannguit,GL,2022-03-21 08:53:27,68.8193,-51.1922,-24.34,76,0,6.76,clear sky,0,0
48,Coruripe,BR,2022-03-21 08:50:06,-10.1256,-36.1756,78.24,78,92,3.51,overcast clouds,0,0
49,Saint-Philippe,RE,2022-03-21 08:53:28,-21.3585,55.7679,84.11,88,99,11.95,light rain,0,0
50,Manokwari,ID,2022-03-21 08:49:18,-0.8667,134.0833,80.01,79,71,6.73,light rain,0,0
51,Qaanaaq,GL,2022-03-21 08:53:28,77.484,-69.3632,-6.21,94,100,10.16,overcast clouds,0,0
52,Bluff,NZ,2022-03-21 08:53:29,-46.6,168.3333,58.68,87,17,14.18,few clouds,0,0
53,Baruun-Urt,MN,2022-03-21 08:53:29,46.6806,113.2792,30.0,25,17,11.23,few clouds,0,0
54,Kandrian,PG,2022-03-21 08:53:30,-6.2167,149.55,82.2,78,100,5.59,overcast clouds,0,0
55,Idlib,SY,2022-03-21 08:53:30,35.9306,36.6339,43.72,40,100,12.44,overcast clouds,0,0
56,Rawson,AR,2022-03-21 08:53:31,-43.3002,-65.1023,62.11,53,90,24.47,overcast clouds,0,0
57,Sao Filipe,CV,2022-03-21 08:53:31,14.8961,-24.4956,69.37,73,19,11.9,few clouds,0,0
58,Yellowknife,CA,2022-03-21 08:53:31,62.456,-114.3525,27.28,88,75,8.05,broken clouds,0,0
59,Hermanus,ZA,2022-03-21 08:53:32,-34.4187,19.2345,79.81,66,3,10.51,clear sky,0,0
60,Tuktoyaktuk,CA,2022-03-21 08:53:32,69.4541,-133.0374,-23.37,100,98,5.37,overcast clouds,0,0
